taxon,DESeq2 mean abundance,lfc,se,Analysis,Comparison
Acidovorax sp000302535,1419.495595,-1.383156624,0.332457147,Visit,Rand-dis
Acidovorax temperans,550.2876761,-1.651419541,0.325680522,Visit,Rand-dis
Acinetobacter johnsonii,110.6961615,0.624325731,0.184918113,Visit,Rand-dis
Acinetobacter pittii,120.9825008,0.763371854,0.186057862,Visit,Rand-dis
Alistipes sp900770635,34.40000052,1.156939423,0.408942628,Visit,Rand-dis
Bifidobacterium animalis,593.3581164,-0.663598089,0.202193876,Visit,Rand-dis
Bifidobacterium dentium,744.9159173,-0.887351631,0.229504948,Visit,Rand-dis
Bradyrhizobium sp000015165,1427.781327,-1.641795974,0.255830134,Visit,Rand-dis
Bradyrhizobium sp003020075,2871.645071,-2.012372129,0.257964955,Visit,Rand-dis
Comamonas kerstersii,532.6015992,-1.112940853,0.231910026,Visit,Rand-dis
Enterococcus gilvus,12712.55289,1.493089558,0.315079001,Visit,Rand-dis
Enterococcus faecium,239026,2.570926728,0.459229699,Visit,Rand-dis
Finegoldia sp900766215,9371.31258,1.158038344,0.385784786,Visit,Rand-dis
Haemophilus influenzae,104.6097588,-0.868017318,0.186911312,Visit,Rand-dis
Haemophilus parainfluenzae,28.08075737,-1.233269313,0.163058438,Visit,Rand-dis
Lancefieldella parvula,116.661908,-0.977448255,0.193199019,Visit,Rand-dis
Lancefieldella sp000564995,175.2564868,-1.501470459,0.21091981,Visit,Rand-dis
Lancefieldella sp900555335,50.53106864,-0.9277288,0.187370066,Visit,Rand-dis
Lancefieldella sp902373375,285.2560454,-1.547455924,0.221903809,Visit,Rand-dis
MGYG000000576,77.6887142,-0.841621986,0.185791935,Visit,Rand-dis
MGYG000001284,59.60216803,-0.84208297,0.187325024,Visit,Rand-dis
MGYG000002842,74.52848305,-0.896941195,0.177972718,Visit,Rand-dis
MGYG000002843,459.9915939,-1.286188712,0.231867697,Visit,Rand-dis
MGYG000003769,475.764,0.977357364,0.239112891,Visit,Rand-dis
MGYG000003879,18.07866635,-0.569858462,0.184339702,Visit,Rand-dis
Pauljensenia sp000278725,22.87810853,-1.058375381,0.178718545,Visit,Rand-dis
Pauljensenia sp900541895,265.4479881,-1.464286517,0.196869916,Visit,Rand-dis
Pauljensenia sp900556405,72.46086278,-0.660897516,0.196893765,Visit,Rand-dis
Pauljensenia sp902373435,509.8082222,-0.786805187,0.218468657,Visit,Rand-dis
Pigmentiphaga sp002188635,331.324396,-1.182396055,0.317274832,Visit,Rand-dis
Pseudomonas putida,103.913,0.705453847,0.200463593,Visit,Rand-dis
Ralstonia pickettii,24886.73133,-1.658424388,0.254922278,Visit,Rand-dis
Staphylococcus warneri,132.2558924,0.671565492,0.21400012,Visit,Rand-dis
Stenotrophomonas maltophilia,238.0346415,2.185422578,0.205824995,Visit,Rand-dis
Stenotrophomonas maltophilia,110.8300641,0.577205498,0.19908535,Visit,Rand-dis
Stenotrophomonas maltophilia,53.88091502,0.88036366,0.184214471,Visit,Rand-dis
Stenotrophomonas maltophilia,64.54224964,0.559408964,0.193259097,Visit,Rand-dis
Stenotrophomonas sp003028475,56.5373383,0.691295949,0.194534212,Visit,Rand-dis
Streptococcus alactolyticus,145.5789048,-1.114148821,0.192789975,Visit,Rand-dis
Streptococcus equinus,90.29641169,-1.150991928,0.181661288,Visit,Rand-dis
Streptococcus gordonii,188.2240181,-1.023259097,0.204518399,Visit,Rand-dis
Streptococcus infantarius,405.6518229,-1.470165841,0.227197732,Visit,Rand-dis
